category;description;alpha_carotene;beta_carotene;beta_cryptoxanthin;carbohydrate;cholesterol;choline;fiber;lutein_and_zeaxanthin;lycopene;niacin;protein;retinol;riboflavin;selenium;sugar_total;thiamin;water;fat.monosaturated_fat;fat.polysaturated_fat;fat.saturated_fat;fat.total_lipid;major_minerals.calcium;major_minerals.copper;major_minerals.iron;major_minerals.magnesium;major_minerals.phosphorus;major_minerals.potassium;major_minerals.sodium;major_minerals.zinc;vitamins.vitamin_a_-_rae;vitamins.vitamin_b12;vitamins.vitamin_b6;vitamins.vitamin_c;vitamins.vitamin_e;vitamins.vitamin_k;calories
Milk;Milk, human;0.0;7.0;0.0;6.89;14.0;16.0;0.0;0.0;0.0;0.177;1.03;60.0;0.036;1.8;6.89;0.014;87.5;1.658;0.497;2.009;4.38;32.0;0.052;0.03;3.0;14.0;51.0;17.0;0.17;61.0;0.05;0.011;5.0;0.08;0.3;71.1
Milk;Milk, NFS;0.0;4.0;0.0;4.87;8.0;17.9;0.0;0.0;0.0;0.11;3.34;58.0;0.137;1.9;4.89;0.057;89.04;0.426;0.065;1.164;1.99;126.0;0.001;0.0;12.0;103.0;157.0;39.0;0.42;59.0;0.56;0.06;0.1;0.03;0.2;50.75
Milk;Milk, whole;0.0;7.0;0.0;4.67;12.0;17.8;0.0;0.0;0.0;0.105;3.28;31.0;0.138;1.9;4.81;0.056;88.1;0.688;0.108;1.86;3.2;123.0;0.001;0.0;12.0;101.0;150.0;38.0;0.41;32.0;0.54;0.061;0.0;0.05;0.3;60.6
Milk;Milk, low sodium, whole;0.0;7.0;0.0;4.46;14.0;16.0;0.0;0.0;0.0;0.043;3.1;28.0;0.105;2.0;4.46;0.02;88.2;0.999;0.128;2.154;3.46;101.0;0.01;0.05;5.0;86.0;253.0;3.0;0.38;29.0;0.36;0.034;0.9;0.08;0.3;61.38
Milk;Milk, calcium fortified, whole;0.0;7.0;0.0;4.67;12.0;17.8;0.0;0.0;0.0;0.105;3.28;31.0;0.138;1.9;4.81;0.056;88.1;0.688;0.108;1.86;3.2;123.0;0.001;0.0;12.0;101.0;150.0;38.0;0.41;32.0;0.54;0.061;0.0;0.05;0.3;60.6
Milk;Milk, calcium fortified, low fat (1%);0.0;1.0;0.0;5.19;5.0;17.4;0.0;0.0;0.0;0.113;3.38;58.0;0.14;2.1;4.96;0.057;89.7;0.21;0.032;0.568;0.95;126.0;0.001;0.0;12.0;103.0;159.0;39.0;0.43;58.0;0.61;0.06;0.0;0.02;0.1;42.83
Milk;Milk, calcium fortified, fat free (skim);0.0;0.0;0.0;4.85;2.0;16.0;0.0;0.0;0.0;0.088;3.4;137.0;0.14;2.1;4.85;0.036;90.8;0.047;0.007;0.117;0.18;204.0;0.011;0.04;11.0;101.0;166.0;52.0;0.4;137.0;0.38;0.04;1.0;0.01;0.0;34.62
Milk;Milk, reduced fat (2%);0.0;3.0;0.0;4.91;8.0;18.2;0.0;0.0;0.0;0.112;3.35;83.0;0.137;1.8;4.89;0.059;89.1;0.4;0.058;1.11;1.9;126.0;0.001;0.0;12.0;103.0;159.0;39.0;0.43;83.0;0.55;0.061;0.2;0.03;0.2;50.14
Milk;Milk, acidophilus, low fat (1%);0.0;1.0;0.0;5.19;5.0;17.4;0.0;0.0;0.0;0.113;3.38;58.0;0.14;2.1;4.96;0.057;89.7;0.21;0.032;0.568;0.95;126.0;0.001;0.0;12.0;103.0;159.0;39.0;0.43;58.0;0.61;0.06;0.0;0.02;0.1;42.83
Milk;Milk, acidophilus, reduced fat (2%);0.0;3.0;0.0;4.91;8.0;18.2;0.0;0.0;0.0;0.112;3.35;83.0;0.137;1.8;4.89;0.059;89.1;0.4;0.058;1.11;1.9;126.0;0.001;0.0;12.0;103.0;159.0;39.0;0.43;83.0;0.55;0.061;0.2;0.03;0.2;50.14
